name,summary,sku,url,country,region,style,grape,rating,tasting_notes,food_pairings,price
Caliterra  Cabernet Sauvignon 750 mL,Caliterra  Cabernet Sauvignon 750 mL,257329,https://www.everythingwine.ca/caliterra-cabernet-sauvignon,Chile,Colchagua Valley,Red,Cabernet Sauvignon,,,,$15.98 
Caliterra  Tributo Carmenere 750 mL,Caliterra Tributo Carmenere 750 mL,351056,https://www.everythingwine.ca/caliterra-tributo-carmenere,Chile,Colchagua Valley,Red,Carmenere,,,,$20.98 
Calliope Wines Figure 8 Red Blend 750 mL,Calliope Figure 8 Cabernet Merlot 750ml,893453,https://www.everythingwine.ca/calliope-figure-8-red,Canada,BC - Okanagan Valley,Red,Red Blend,100%,,,$18.99 
Calliope Wines Figure 8 White Blend 750 mL,Calliope Wines Figure 8 White Blend  750ml,333880,https://www.everythingwine.ca/calliope-figure-8-white,Canada,BC - Okanagan Valley,Red,White Blend,,"This Southern British Columbia blend is punchy and intense. The nose shows ripe peach and apricot, floral jasmine notes and ripe cantaloupe melon. The palate has intense orchard and tropical fruits, a fresh cilantro note and a powerful refreshing racy lemony acidity that finishes with strong mineral, wet stone notes",Pair this with lemon chicken or grilled albacore tuna with fresh herb salad.,$17.29 
Cambria Winery Benchbreak Pinot Noir  750 mL,Cambria Winery Julia's Vineyard Pinot Noir 750ml,232215,https://www.everythingwine.ca/cambria-winery-julia-s-vineyard-pinot-noir-750ml,USA,California - Santa Maria,Red,Pinot Noir,100%,"The Pinot Noir is deep, dark purple in color with abundant red fruit and dark berry aromas and flavors. The ever-present underlying earthy character compliments its solid tannin structure and long fruity finish.",Pairs beautifully with BBQ-ed duck or roast pork.,$38.98 
Campo Viejo Rioja Tempranillo 750 mL,Campo Viejo Crianza Rioja Tempranillo 750 mL,190629,https://www.everythingwine.ca/campo-viejo-crianza-rioja,Spain,Rioja,Red,Tempranillo,80%,,,$13.99 
Campo Viejo Tempranillo Rose 750 mL,Campo Viejo Tempranillo Rose 750 mL,748129,https://www.everythingwine.ca/campo-viejo-tempranillo-rose-750-ml,Spain,Rioja,Red,Tempranillo,,"A Raspberry-pink colour, warm, attractive and very bright. On the nose, there is a mingling of fruit aromas: strawberries, plums, blackberries, with floral notes of roses and violets. Fragrant in the mouth, round, soft and smooth, with just the right crispness to produce a refreshing rosé.",,$14.99 
Campomaccione  Morellino di Scansano  750 mL,Campomaccione  Morellino di Scansano  750 mL,121541,https://www.everythingwine.ca/campomaccione-morellino-di-scansano-750-ml,Italy,Tuscany - Scansano,Red,Sangiovese,,,,$19.98 
Camus P�re et Fils Mazy-Chambertin 2010 Grand Cru 750 mL,Camus P̬re et Fils Mazis Chambertin 2010 Grand Cru 750 mL,556555,https://www.everythingwine.ca/camus-p-re-et-fils-mazis-chambertin-2010-grand-cru-750-ml,France,Burgundy,Red,Pinot Noir,,,,$157.98 
Can Blau Montsant Red Blend 750 mL,Can Blau Montsant Carignan/Syrah/Garnacha 750 mL,855726,https://www.everythingwine.ca/can-blau-red-blend,Spain,Montsant,Red,Red Blend,,,,$33.98 
Canalicchio di Sopra Brunello di Montalcino Riserva 750 mL,Canalicchio di Sopra Brunello di Montalcino Riserva 750 mL. Please contact our stores for Vintage information as this can vary by location.,138776,https://www.everythingwine.ca/canalicchio-di-sopra-brunello-di-montalcino-riserva-2010-750-ml,Italy,Tuscany - Montalcino,Red,Sangiovese,,,,$183.98 
Canepa  Reserva Privada  Cabernet Sauvignon  750 mL,Canepa  Privada Reserva  Cabernet Sauvignon  750 mL,171371,https://www.everythingwine.ca/canepa-privada-cabernet,Chile,Maipo Valley,Red,Red Blend,,,,$15.98 
Cannonball Cabernet Sauvignon 750 mL,Cannonball Cabernet Sauvignon 750 mL,115212,https://www.everythingwine.ca/cannonball-cabernet-sauvignon,USA,California,Red,Cabernet Sauvignon,60%,,,$26.49 
Cantata Montepulciano d'Abruzzo 750 mL,Cantata Montepulciano d'Abruzzo 750 mL,152981,https://www.everythingwine.ca/cantata-montepulciano-d-abruzzo-750-ml,Italy,Abruzzo,Red,Montepulciano,,,,$14.99 
Cantata Nero d'Avola 750 mL,"Nero d'Avola is a grape variety that is native to Sicily and produces bold, fruity wines like this. It is full-bodied with flavors of cherry, licorice and has hints of spice on the finish.",152978,https://www.everythingwine.ca/cantata-nero-d-avola-750-ml,Italy,Sicily,Red,Nero D'Avola,,,"pastaPizzaBurgers                                                Pizza, Tomato-based pasta dishes, lamb burgers, saffron rice.",$14.99 
Cantata Rosso 750 mL,"Superb value and delicious, this is a great entertaining wine thats easy to drink and pairs with a wide range of foods. Light and soft with fresh and fruity flavours on the palate.",152989,https://www.everythingwine.ca/cantata-rosso-750-ml,Italy,Sicily,Red,Red Blend,,Ruby in colour with purple highlights and aromas of berries. Light and soft with fresh and fruity flavours on the palate.,"Easy to drink, it pairs well with a wide variety dishes, including pasta, meat or cheese.",$14.99 
Cantata Syrah 750 mL,"This Syrah is an intense garnet colour and has a nose that is extremely prominent, with hints of blackberries and vanilla. The palate is full with rich cassis fruit, raspberries and dark chocolate.",152970,https://www.everythingwine.ca/cantata-syrah-750-ml,Italy,Sicily,Red,Syrah,,"Offering aromas of violets, flavours of blackberries and raspberries with dark chocolate and vanilla. A rich and full bodied Syrah.","A wine thats well matched to Lamb chops, grilled rib-eye steaks, tapenade or grilled portabello mushrooms.",$14.99 
Cantina Del Pino Barbaresco 1.5L,Cantina Del Pino Barbaresco 1.5L,256956,https://www.everythingwine.ca/cantina-del-pino-barbaresco-1-5l-1,Italy,Piedmont - Barbaresco,Red,Nebbiolo,,,,$188.98 
Cantina Del Pino Barbaresco 2013 750 mL,Cantina Del Pino Barbaresco 2013 750ml,4686,https://www.everythingwine.ca/cantina-del-pino-barbaresco-2013-750ml,Italy,Piedmont - Barbaresco,Red,Nebbiolo,,,,$84.99 
Cantina Di Custoza  Val dei Molini Corvina Garda DOC 750 mL,Cantina Di Custoza  Val dei Molini Corvina Garda DOC 750 mL,4651,https://www.everythingwine.ca/cantina-di-custoza-val-dei-molini-corvina-garda-doc-750-ml,Italy,Veneto,Red,Corvina,,,,$23.98 
Cantina di Negrar  Amarone della Valpolicella Classico 2011 750 mL,Cantina di Negrar  Amarone della Valpolicella Classico 750ml,44784,https://www.everythingwine.ca/negrar-amarone-classico,Italy,Veneto - Valpolicella,Red,Red Blend,,,,$44.99 
Cantina Novelli Sangiovese Umbria 750ml,Cantina Novelli Sangiovese Umbria 750ml,227579,https://www.everythingwine.ca/cantina-novelli-sangiovese-umbria-750ml,Italy,Umbria,Red,Sangiovese,,,,$16.98 
Cantina Tollo Red Blend  1L,Cantina Tollo Terre Di Chieti  1L,7799,https://www.everythingwine.ca/tollo-terre-di-chieti-1l,Italy,Abruzzo,Red,Other,40%,,,$11.98 
Cantina Tollo Sangiovese Colline Teatine 1 L,Cantina Tollo Sangiovese Colline Teatine 1 L,652263,https://www.everythingwine.ca/tollo-sangiovese-1l,Italy,Abruzzo,Red,Sangiovese,,,,$14.98 
Cantine La Quercia  Montepulciano d'Abruzzo 750 mL,Cantine La Quercia  Montepulciano d'Abruzzo 750ml,835884,https://www.everythingwine.ca/la-quercia-montepulciano-1,Italy,Abruzzo,Red,Montepulciano,100%,"This Montepulciano is a great example of what can happen when you match low-yield winemaking expertise with a prolific growing zone, and constantly cut back the vines. Made by winemaker Antonio Lamona, the result is one of the best quality, most expressiv",,$29.98 
Canvasback Red Mountain Cabernet Sauvignon 750 mL,Canvasback Red Mountain by Duckhorn Cabernet Sauvignon 750ml,500124,https://www.everythingwine.ca/canvasback-red-mountain-by-duckhorn-cabernet-sauvignon-750ml,USA,Washington - Red Mountain,Red,Cabernet Sauvignon,,,,$53.98 
Canyon Road Cabernet Sauvignon 750 mL ,Canyon Road wines were inspired by the scenic roads that wander through California's stunning wine country. This Cabernet Sauvignon has a ripe raspberry flavour and a velvety smooth finish.,845974,https://www.everythingwine.ca/canyon-road-cabernet-sauvignon-750ml,USA,California,Red,Cabernet Sauvignon,,"Full of fresh dark fruit (blackberry, plum) layered with sweet aromatics of caramel. Hints of fresh green herbs, brown spice and lingering soft, plush tannin make for a well rounded Cabernet Sauvignon.","A great food wine that can be enjoyed with grilled red meats, mildly spicy dishes or a selection of hearty cheese.",$15.99 
Canyon Road Merlot 750 mL ,Canyon Road wines were inspired by the scenic roads that wander through California's stunning wine country. This Merlot is soft and elegant with deep flavours of rich cherries and jammy blackberries.,59485,https://www.everythingwine.ca/canyon-road-merlot-750ml,USA,California,Red,Merlot,,"Elegant and juicy on the palate with flavors of dark cherries, currants, blackberries, warm spice and vanilla with notes of cinnamon. This rich and smooth wine has soft tannins which makes the wine very accessible.","Enjoy this delicious Merlot on its own or pair it perfectly with roasted chicken, baked Salmon, grilled meats or tomato based pasta dishes.",$15.99 
Capeography Seascape Malbec 750 mL,"Our seascape wines come from vineyards that can see and smell the sea, where the cooling coastal wind that blows off the cold Atlantic slow the ripening process, giving sun-loving grapes greater finesse and elegance.
Seascape Malbec is from the Coastal region, where the granite soils impart a textural minerality. The silky pulmminess and dark chocolate notes make this perfect with steak from the braai.",180180,https://www.everythingwine.ca/capeography-seascape-malbec-750ml,South Africa,Western Cape,Red,Malbec,100%,,,$21.99 
Capezzana Barco Reale di Carmignano Red Blend 750 mL ,Capezzana Barco Reale di Carmignano Red Blend 750ml,658674,https://www.everythingwine.ca/capezzana-barco-reale,Italy,Tuscany - Carmignano,Red,Red Blend,,"Good depth of ruby red colour, with intense, fruity perfumes of cherry and plum, given an extra dimension by a touch of oak. On the palate, it is rounded and ripe, with a lovely balanced fruit and tannin structure, and a long, elegant finish with a hint of spiced dark berry fruit.",,$33.49 
Carlo Rossi California Red Red Blend 1.5 L,Carlo Rossi California Red 1.5L,70813,https://www.everythingwine.ca/carlo-rossi-california-red,USA,California,Red,Red Blend,,"Pale ruby colour; mildly fruity nose displaying mild currant and berry fruit; light, crisp berry flavours.",,$13.29 
Carmen Grand Reserva Carmenere 750 mL,Carmen Grand Reserva Carmenere 750 mL,439166,https://www.everythingwine.ca/carmen-gr-carmenere,Chile,Maipo Valley,Red,Carmenere,,,,$19.99 
Carmen Raymi  Cabernet Sauvignon 750 mL,Carmen Raymi Cabernet Sauvignon 750ml,255687,https://www.everythingwine.ca/carmen-raymi-cabernet-sauvignon-750ml,Chile,Central Valley,Red,Cabernet Sauvignon,,,,$9.98 
Carmen Reserva Carmenere 750 mL,Carmen Reserva Carmenere 750 mL,638536,https://www.everythingwine.ca/carmen-reserva-carmenere,Chile,Colchagua Valley,Red,Carmenere,,,,$14.98 
Carne Humana  Napa Valley  Red 2012 750 mL,Carne Humana  Napa Valley Red 2012 750ml,376905,https://www.everythingwine.ca/carne-humana-napa-valley-red-2012-750ml,USA,California - Napa Valley,Red,Red Blend,,,,$56.98 
Carnivor Cabernet Sauvignon 750 mL,Carnivor Cabernet Sauvignon California 750ml,884122,https://www.everythingwine.ca/carnivor-cabernet-sauvignon,USA,California,Red,Cabernet Sauvignon,,"Just as Cabernet Sauvignon, the ""King of Reds,"" resides in the upper echelons of the wine world, the carnivore sits atop the food chain. Inspired by these two kings, we created Carnivor, a sophisticated wine whose bold, intense flavor is matched by a refi",Delicious with grilled fare!  Try this with a grilled ribsteak and thick grilled sliced onions.,$15.49 
Carnivor Zinfandel 750 mL,Carnivor Zinfandel 750ml,35637,https://www.everythingwine.ca/carnivor-zinfandel-750ml,USA,California,Red,Zinfandel,100%,"Carnivor Zinfandel is full-bodied,  juicy, bold, big and flavorful. Featuring hints of spice with a smooth touch for a complete palate. Intense dark fruit flavors of blackberry, plum and boysenberry are matched with notes of mocha, dark chocolate, black pepper and baking spice. Flavors of vanilla and toasted almond linger with a long, smooth finish",,$16.99 
Carpineto Vino Noble di Montepulciano Riserva 750ml,Carpineto Noble di Montepulciano Sangiovese 2011 750ml,130450,https://www.everythingwine.ca/carpineto-montalcino,Italy,Tuscany - Montepulciano,Red,Sangiovese,,"An ethereal bouquet of violets, cherries, and wood fills the nose. On the palate, it is dry, harmonious, and fruity with a velvety, elegant texture and a long finish.","Traditionally, this wine is paired with wild boar, but can accompany any game meat. Also great with aged cheeses. This is a cellar-worthy wine.",$45.99 
Casa Ermelinda Freitas Monte da Baia Tinto 750ml,Casa Ermelinda Freitas Monte da Baia Tinto 750ml,888453,https://www.everythingwine.ca/monte-da-baia-red-blend,Portugal,Setubal,Red,Red Blend,,,,$14.98 
Casa Ferreirinha Papa Figos Tinto Red Blend 750 mL,"Named after the rare Douro golden oriole bird (which obviously likes to eat figs), this is a bright, fruity wine with light tannins that give it a delicious fresh, red fruit character. It has a smoky edge from wood aging, finely balanced and ready to drink now.",521294,https://www.everythingwine.ca/papas-figos-duoro-750ml,Portugal,Douro,Red,Red Blend,,"This wine has a deep ruby color with violet nuances. It has a very intense aroma, dominated by floral notes of violet and rock rose, balsamic aromas of resin and cedar and well-ripened red and black fruit. On the palate, it has good volume, well-integrated acidity, high-quality tannins and black and red fruit notes. Its finish is elegant and harmonious.",A great wine to pair with all kinds of poultry and meat as well as a charcuterie platter.,$22.99 
Casa Santos Lima Colossal Reserva Red Blend 750 mL,Casa Santos Lima Colossal Reserva Red Blend 750 mL,479956,https://www.everythingwine.ca/casa-santos-lima-colossal-reserva-red-blend-750-ml,Portugal,Lisboa,Red,Red Blend,,,,$18.98 
Casa Santos Lima Joya Red Blend 750 mL,Casa Santos Lima Joya Red Blend 750 mL,44750,https://www.everythingwine.ca/casa-santos-lima-joya-red-blend-750-ml,Portugal,Lisboa,Red,Red Blend,,,,$12.98 
Casal Garcia Vinho Tinto Red Blend 750 mL,Casal Garcia Vinho Tinto Red Blend 750 mL,647404,https://www.everythingwine.ca/casal-garcia-vinho-tinto-red-blend-750-ml,Portugal,Douro,Red,Red Blend,,,,$13.98 
Casanova di Neri  Bunrall di Montalcino 2011 Tenuta Nuova  750 mL,Casanova di Neri  Bunrall di Montalcino Tenuta Nuova  750ml,648964,https://www.everythingwine.ca/casanova-di-neri-bunrall-di-montalcino-tenuta-nuova-750ml,Italy,Tuscany,Red,Sangiovese,,,,$256.98 
Cascina Bongiovanni Pernanno Barolo DOCG 750 mL,Cascina Bongiovanni Pernanno Barolo DOCG 750 mL,140293,https://www.everythingwine.ca/bongiovanni-pernanno-barolo,Italy,Piedmont - Barolo,Red,Nebbiolo,,"Very deep garnet red colour. In the glass intense bouquet with floral, fruity, ethereal and spicy scents. Full-bodied in the mouth with a complex tannic texture that improves in the bottle.",Well-suited with important meat dishes like beef braised in Barolo and long-seasoned cheese.,$84.98 
Casetta Case Nere Barolo DOCG 750 mL ,Vigna Case Nere Barolo DOCG 750 mL,644591,https://www.everythingwine.ca/vigna-case-nere-barolo-docg-750-ml,Italy,Piedmont - Barolo,Red,Nebbiolo,,"The colour is garnet red that takes slightly orange tone over time Intense bouquet with withered roses and wild berries fruits overtones. Full and harmonious on the palate, rich and persistent aromas that open little by little. Complex wine, able to give unique sensations. Great structure for long ageing.","Excellent with meat dishes rich in flavors like braised beef, roast, lamb and game.",$69.98 
Castano Hecula Monastrell 750 mL,Castano Hecula Monastrell 750 mL,583690,https://www.everythingwine.ca/castano-hecula-monastrell,Spain,Yecla,Red,Monastrell,100%,"91 points - The Wine Advocate - 2012 vintage.   “Aged in both tank and French oak, it comes from 60-80-year-old vines planted in limestone soils at a relatively high elevation of over 1,600 feet. Its opaque purple color is followed by copious aromas of bl",,$15.99 
Castelgiocondo  Campo ai Sassi Rosso Di Montalcino 750ml,Castelgiocondo  Campo ai Sassi Rosso Di Montalcino 750ml,201855,https://www.everythingwine.ca/campo-ai-sassi-rosso-di-mont,Italy,Tuscany - Montalcino,Red,Red Blend,100%,Bright ruby red wine with hinted purple highlights. Its nose is complex and varied with a prevalence of small red fruits and floral notes. The wine’s body is beautifully balanced with a long finish that holds a delicately fruity aftertaste.,"Egg-pasta dishes such as pappardelle in hare sauce, or with boar, or with any red meat, whether steak or stews.",$28.98 
Castell'In Villa Chianti Classico Riserva 750ml,Castell'In Villa Chianti Classico Riserva 750ml,27180,https://www.everythingwine.ca/castell-in-villa-chianti-classico-riserva-750ml,Italy,Tuscany - Chianti,Red,Sangiovese,,,,$75.98 
Castello Banfi  Rosso di Montalcino Sangiovese 750 mL,Castello Banfi  Rosso di Montalcino Sangiovese 750 mL,557967,https://www.everythingwine.ca/banfi-rosso-di-montalcino,Italy,Tuscany - Montalcino,Red,Sangiovese,,,,$21.99 
Castello Banfi SummuS 2013 Red Blend 750 mL,Castello Banfi SummuS 2007 Red Blend 750 mL,630434,https://www.everythingwine.ca/banfi-summus,Italy,Tuscany,Red,Red Blend,,"Intense and deep red. The bouquet conveys sweet and fruity aromas of cherries and plums, well-integrated with notes of vanilla and licorice. Very elegant and balanced with a beautiful structure, supported by muscular and persuasive tannins. Lingering flavors fill the palate. Perfect for long aging.","Marries well with red meat, stews, hearty pasta dishes, and cheese.",$66.99 
Castello di Bossi  Chianti Classico Sangiovese 750 mL,Castello di Bossi Chianti Classico Sangiovese 750 mL,212118,https://www.everythingwine.ca/castello-di-bossi-chianti,Italy,Tuscany - Chianti,Red,Sangiovese,,,,$35.98 
Castello di Monsanto  Monrosso Chianti 750ml,Castello di Monsanto  Monrosso Chianti 750ml,17947,https://www.everythingwine.ca/castello-di-monsanto-monrosso-chianti-750ml,Italy,Tuscany - Chianti,Red,Sangiovese,,,,$29.98 
Castello di Volpaia Casanova Gran Selezione Chianti Classico 750 mL,Castello di Volpaia Casanova Gran Selezione Chianti Classico 750ml,188701,https://www.everythingwine.ca/castello-di-volpaia-casanova-gran-selezione-chianti-classico-750ml,Italy,Tuscany - Chianti,Red,Red Blend,,,,$107.98 
Castello di Volpaia Chianti Classico Organic 750 mL,Castello di Volpaia Chianti Classico Organic 750ml,33520,https://www.everythingwine.ca/castello-di-volpaia-chianti-classico-organic-750ml,Italy,Tuscany - Chianti,Red,Sangiovese,,The Chianti Classico has a vivid ruby color and a strong nose of fresh red fruit with hints of cherry. This is a well-structured wine with a fruity finish.,,$33.98 
Castilla Y Leon Tridente Tempranillo 750ml,Castilla Y Leon Tridente Tempranillo 750ml,189852,https://www.everythingwine.ca/castilla-y-leon-tridente-temp,Spain,Castilla Y Leon,Red,Tempranillo,,,,$35.98 
Castillo de Aguaron Cabernet Sauvignon  750 mL,"Bright, intense Spanish Cab!  Definitely one to try for those new to Spanish wines and one of our customer favourites. With its aromas of ripe dried fruit and rustic dark berries and an intense, balanced and elegant palate with a long finish, this is a delicious wine to take along to your next dinner party!
",28803,https://www.everythingwine.ca/castillo-de-aguaron-cabernet,Spain,Carinena,Red,Cabernet Sauvignon,73%,"Aromas of ripe dried fruit and rustic dark berries. This cabernet sauvignon is intense, balanced and elegant with a long finish.","Meatstew                                                Pair this up with a great big porterhouse, garlic mashed potatoes and grilled asparagus or a rich Goulash. A fantastic 'meat and potatoes' wine.",$13.99 
Castillo De Almanza Reserva Red Blend 750ml,Castillo De Almanza Reserva Red Blend 750ml,270363,https://www.everythingwine.ca/castillo-de-almanza-reserva,Spain,Almansa,Red,Red Blend,,,,$15.99 
Castillo de Covanegra Jumilla Reserva 750 mL,Castillo de Covanegra Jumilla Reserva 750ml,413674,https://www.everythingwine.ca/castillo-de-covanegra-jumilla-reserva-750ml,Spain,Jumilla,Red,Monastrell,,,,$11.98 
Castillo de Monseran Garnacha 750 mL,"A customer favourite the Castillo de Monseran Garnacha is an easy drinking, fruit driven wine with deep ruby colour and aromas of ripe black cherry, anise and a touch of chocolate. A medium bodied, medium tannins and juicy plum, mint and spice palate will leave you with lingering red fruit flavours on the tongue.",197806,https://www.everythingwine.ca/castillo-de-monseran-garnacha,Spain,Carinena,Red,Garnacha,80%,"An easy drinking, fruit driven wine with deep ruby colour and aromas of ripe black cherry, anise and a touch of chocolate. A medium bodied, medium tannins and juicy plum, mint and spice palate will leave you with lingering red fruit flavours on the tongue.","Serve with grilled spicy sausages or burgers or enjoy as an accompaniment to tomato based pasta dishes, a cold cut platter or mixed tapas.",$10.99 
"Castillo de Monseran Mal de Ojo ""The Evil Eye 750 mL","Castillo de Monseran Mal de Ojo ""The Evil Eye 750 mL",558783,https://www.everythingwine.ca/castillo-de-monseran-mal-de-ojo-the-evil-eye-750-ml,Spain,Carinena,Red,Garnacha,,,,$16.98 
Castillo de Monseran Old Vines Garnacha 750ml,Castillo de Monseran Old Vines Garnacha 750ml,822528,https://www.everythingwine.ca/castillo-de-monseran-old-vine,Spain,Carinena,Red,Garnacha,,,,$15.98 
Castle Rock Paso Robles Cabernet Sauvignon 750 mL,Castle Rock Paso Robles Cabernet Sauvignon 750ml,991760,https://www.everythingwine.ca/castle-rock-paso-robles-cabernet-sauvignon-750ml,USA,California - Paso Robles,Red,Cabernet Sauvignon,,,,$25.98 
Castle Rock Winery California Cuvee Pinot Noir 750 mL,Castle Rock Central Coast Pinot Noir 750 mL,120535,https://www.everythingwine.ca/castle-rock-pinot-noir,USA,California - Central Coast,Red,Pinot Noir,,,,$27.98 
Castlforte Corvina 750 mL,Castlforte Corvina 750 mL,851774,https://www.everythingwine.ca/castlforte-corvina-750-ml,Italy,Veneto,Red,Corvina,,,,$14.98 
Castroviejo Roble  Rioja Tempranillo 750 mL,Castroviejo Roble  Rioja Tempranillo 750 mL,691048,https://www.everythingwine.ca/castroviejo-roble-rioja-tempranillo-750-ml,Spain,Rioja,Red,Tempranillo,,,,$17.98 
Cave Saint Desirat  Syrah 750 ml,Cave Saint Desirat  Syrah 750 ml,188474,https://www.everythingwine.ca/cave-saint-desirat-syrah,France,Rhone - Ardeche,Red,Syrah,,,,$13.49 
Cavit Roscato Rosso Dolce Red Blend 750 mL,Cavit Roscato Rosso Dolce Red Blend 750ml,16618,https://www.everythingwine.ca/cavit-roscato-rosso-dolce,Italy,Trentino-Alto Adige,Red,Red Blend,90%,,,$16.98 
Cavit Roscato Sparkling Sweet Red 750ml,Cavit Roscato Sparkling Sweet Red 750ml,17023,https://www.everythingwine.ca/cavit-roscato-sparkling-sweet-red-750ml,Italy,Trentino-Alto Adige,Red,Sparkling,,,,$19.98 
Caymus Vineyards Cabernet Sauvignon 1.5 L,Caymus Vineyards Cabernet Sauvignon 1.5L,181164,https://www.everythingwine.ca/caymus-cabernet-1-5l,USA,California - Napa Valley,Red,Cabernet Sauvignon,,"A dark, scarlet red color, with powerful aromas of sweet ripe cabernet grapes. Initial impressions are fantastically appealing, brooding to expansive textural sensations of finely grained cacao tannins. The whole of the wine is balanced, rich, expressive and impressively complex. The backbone of fine tannin and sweet ripeness is a carry over from perfectly mature fruit.",,$222.99 
Caymus Vineyards Napa Valley Cabernet Sauvignon 750 mL,"From start to finish, this giant, fruity Cabernet Sauvignon is perfectly balanced, full of dark fruit and hints of vanilla and oak spice.",390849,https://www.everythingwine.ca/caymus-cabernet-sauvignon,USA,California - Napa Valley,Red,Cabernet Sauvignon,,,,$99.99 
Caymus Vineyards Red Schooner Voyage 5 Malbec 750 mL,Caymus Vineyards Red Schooner Voyage 3 Malbec 750ml,532481,https://www.everythingwine.ca/caymus-vineyards-red-schooner-voyage-3-malbec-750ml,USA,California,Red,Malbec,,,,$72.98 
Caymus Vineyards Special Selection Cabernet Sauvignon 750 mL,Caymus Vineyards Special Selection Cabernet Sauvignon 750ml,185967,https://www.everythingwine.ca/caymus-ss-cabernet-sauvignon,USA,California - Napa Valley,Red,Cabernet Sauvignon,100%,"A rich, dense ruby color, hints at the dark fruit nose of blackberry and currant that carries through to the palate, interwoven with complex aromas of black licorice, anise and crème de cassis. On the palate, the wine opens up to reveal an earthiness, with brown spice, cigar box and ripe dark fruits that linger throughout the extracted and long finish. The texture is opulent and rich, yet has a velvety quality with supple density. Rich, fine grained tannins are balanced with ripe fruit, acidity and oak.",,$199.99 
CC Jentsch Cellars Cabernet Merlot 750 mL,CC Jentsch Cellars Cabernet Merlot 750 mL,224764,https://www.everythingwine.ca/cc-jentsch-cellars-cabernet-merlot-750-ml-1,Canada,BC - Okanagan Valley,Red,Red Blend,,"Velvety, bold red. Over half of the blend is plummy, spicy Merlot, with Cabernet Franc bringing floral perfume and inky blackberry flavours. Aristocratic Cabernet Sauvignon contributes firm tannins and the ripe, smooth finish.","Try with a casual burger, or just enjoy solo.",$16.49 
CC Jentsch Cellars Syrah  750 mL,CC Jentsch Cellars Syrah  750 mL,30979,https://www.everythingwine.ca/cc-jentsch-cellars-syrah-750-ml-1,Canada,BC - Okanagan Valley,Red,Syrah,,"Juicy, with aromas of blackberries, dark chocolate, toffee, smoked sandal wood and the sweet spiciness of clove, vanilla, pine wood, sage, black licorice and eucalyptus, This Syrah, having been barrel aged for 16 months overwhelms with its rich flavours on both the palate and nose, has great balance, velvety tannins and a long finish.","Great for pairing with grilled steak or scallops, cured meats and rich pasta meals.  Perfect with aged hard cheese.",$37.98 
CC Jentsch Cellars The Chase Red Blend 750 mL,CC Jentsch Cellars The Chase Red Blend 2014 750 mL,476390,https://www.everythingwine.ca/cc-jentsch-cellars-the-chase-red-blend-2014-750-ml,Canada,BC - Okanagan Valley,Red,Red Blend,,"Deep ruby red in colour. Toasty vanilla oak intertwines with rich mocha, dark chocolate and ripe blackcurrants. It shows hints of Christmas cake and classic white pepper notes. Soft and supple, with a fine grained structure and excellent length. The toast and red/black fruits are very apparent on the mid palate.",,$21.98 
Cecchi  Chianti 750ml,Cecchi  Chianti 750ml,231712,https://www.everythingwine.ca/cecchi-chianti,Italy,Tuscany - Chianti,Red,Red Blend,,,,$15.99 
Cecchi  Chianti Classico 750ml,Cecchi  Chianti Classico 750ml,113613,https://www.everythingwine.ca/cecchi-chianti-classico,Italy,Tuscany - Chianti,Red,Red Blend,,,,$20.99 
Cedar Creek Estate Winery Pinot Noir 750 mL,Cedar Creek Estate Winery Pinot Noir 750 mL,567412,https://www.everythingwine.ca/cedar-creek-pinot-noir-1,Canada,BC - Okanagan Valley,Red,Pinot Noir,,"Fragrant aromas of cherries, sweet spice and a hint of forest floor, finishing with delicate tannins and a restrained, elegant acidity.",,$26.99 
Cedar Creek Winery Merlot 750 mL,Cedar Creek Merlot 750ml,408666,https://www.everythingwine.ca/cedar-creek-merlot,Canada,BC - Okanagan Valley,Red,Merlot,,"Aromas of plums, forest berries and coffee. The palate is juicy and fresh with plenty of ripe berry, bittersweet chocolate and espresso flavours. Spice lingers in the lengthy finish.",,$20.99 
Cellars Strapellum Vino D'Italia Rosso 750 mL,A unique blend of Anglianico and Montepulciano from the south of Italy. Ripe dark fruit aromas with flavours of spiced plum and sour cherry on the palate. Classic Italian style with a long fresh finish.,31453,https://www.everythingwine.ca/750ml,Italy,Basilicata,Red,Red Blend,,"Offering aromas of ripe dark fruit and flavours of plum, sour cherry and notes of spice and steeped black tea before subtle earthy tones on the finish.","A great choice to be enjoyed with classic Italian cuisine such as a mushroom risotto, eggplant lasagna, caprese salad or a slow braised leg of lamb.",$18.99 
Celler Malondro Xabec Carinena/Garnacha 750 mL,Celler Malondro Xabec Carinena/Garnacha 750 mL,851006,https://www.everythingwine.ca/celler-malondro-xabec,Spain,Montsant,Red,Red Blend,,,,$18.99 
Cellier des Princes Domaine de la Cote Cotes du Rhone 750 mL,Cellier des Princes Domaine de la Cote Cotes du Rhone 750 mL,212068,https://www.everythingwine.ca/cellier-des-princes-domaine-de-la-cote-cotes-du-rhone-750-ml,France,Rhone,Red,Red Blend,,"Intense ruby ​​red color with purple glints. The nose is powerful with dominant red and black berries such as black currant. The wine exhibits Mediterranean spices such as tyme and rosemary as well as liquorice notes. The wine is well balanced with good concentration, soft and smooth tannins. Very good length","It will match perfectly with rack of tyme and rosemary, any Mediterranean dish, steaks, stews and cheeses.",$19.98 
