name,summary,sku,url,country,region,style,grape,rating,tasting_notes,food_pairings,price
Barbian  Vino Tinto 750ml,Barbian  Vino Tinto 750ml,33074,https://www.everythingwine.ca/barbian-vino-tinto-750ml,Spain,Toro,Red,Red Blend,,Bright and dark cherry red wine with violet rims and fine tears. On the nose it is a very intense and fruity wine of red and black fruit with presence of toasted aromas. In the mouth it is a tasty and fruity wine with a smooth and long finish.,"Pairs well with all kinds of meats, cheeses and legumes.",$23.98 
Barefoot Merlot 750 mL,Barefoot Merlot 750 ml,209197,https://www.everythingwine.ca/barefoot-merlot,USA,California,Red,Merlot,60%,,,$9.99 
Barefoot Pinot Noir 750 mL,Barefoot Pinot Noir 750 ml,111963,https://www.everythingwine.ca/barefoot-pinot-noir,USA,California,Red,Pinot Noir,,,,$11.98 
Barefoot Shiraz 750 mL,Barefoot Shiraz 750 ml,209106,https://www.everythingwine.ca/barefoot-shiraz,USA,California,Red,Shiraz,60%,,,$11.98 
Barefoot Zinfandel 750 mL,Barefoot Zinfandel 750 ml,209411,https://www.everythingwine.ca/barefoot-zinfandel,USA,California,Red,Zinfandel,80%,,,$9.99 
Barilin  Barbera D' Alba 750ml,Barilin  Barbera D' Alba 750ml,443275,https://www.everythingwine.ca/barilin-barbera-d-alba,Italy,Piedmont - Alba,Red,Barbera,,"Deep red, with purple reflections. Intense bouquet with ripe fruit notes, plums and cherries, hint of spices and vanilla. Full persistent taste, warm feeling and body, well balanced with soft tannins and acidity. Long finish with a marked blackberries jam.",Perfect with red meat dishes and medium to mature cheese,$28.98 
Baron de Ley Rioja Reserva 750 mL,Baron de Ley Rioja Reserva 750 mL,616235,https://www.everythingwine.ca/baron-de-ley-rioja-reserva-750-ml,Spain,Rioja,Red,Red Blend,,,,$36.98 
Baron du Pin Bordeaux  Red Blend 750 mL,"Baron du Pin is an elegant Bordeaux Red Blend. The predominance of Merlot is reflected by aromas of red fruit, blackcurrant, strawberry and ripe berries with subtle spicy notes. The ripe and fruit forward style make this a great choice for those of you looking to explore old world wines, but who may more regularly drink new world originating wines.",52467,https://www.everythingwine.ca/baron-de-pin-bordeaux-750-ml,France,Bordeaux,Red,Red Blend,,With its ripe fruit forward style this wine offers aromas of ripe red berries and flavours of strawberry with notes of vanilla and spice.,"Delicious enjoyed on its own or paired with some beef satay, blue cheese burgers, pork chops or a creamy mushroom risotto.","
                            $17.99                        "
Barone Montalto Passivento Nero D'Avola 750 mL,Barone Montalto Passivento Nero D'Avola 750 mL,121895,https://www.everythingwine.ca/barone-montalto-passivento-nero-d-avola-750-ml,Italy,Sicily,Red,Nero D'Avola,100%,"Red wine, dark and intense. Opulent nose of candied figs and ripe fruit, full bodied, balanced both in roundness and persistence.","It particularly suits fatty and tasty dishes. It goes well with foie gras patè , salami and delicatessen meats. It perfectly matches the typical oven baked baby pork.",$24.99 
Barone Ricasoli  Chianti 750ml,Barone Ricasoli  Chianti 750ml,375568,https://www.everythingwine.ca/barone-ricasoli-chianti,Italy,Tuscany - Chianti,Red,Red Blend,,,,$21.98 
Barone Ricasoli Casalferro 2011 Merlot 750ml,Barone Ricasoli Casalferro 2008 Merlot 750ml,469692,https://www.everythingwine.ca/barone-ricasoli-casalferro-2008-merlot-750ml,Italy,Tuscany,Red,Merlot,,,,$72.98 
Barossa Valley Estate E&E Black Pepper Shiraz 2005 750 mL,Barossa Valley Estate E&E Black Pepper Shiraz 2005 750ml,465930,https://www.everythingwine.ca/e-e-black-pepper-shiraz,Australia,Barossa,Red,Shiraz,,,,$87.99 
Barossa Valley Estate Shiraz 750 mL,Barossa Valley Estates Shiraz 750ml,428946,https://www.everythingwine.ca/barossa-valley-estates-shiraz-750ml,Australia,Barossa,Red,Shiraz,,,,$20.49 
Barossa Valley Estates Cabernet Sauvignon 750 mL,Barossa Valley Estates Cabernet Sauvignon 750 mL,888974,https://www.everythingwine.ca/barossa-valley-estates-cabernet-sauvignon-750-ml,Australia,Barossa,Red,Cabernet Sauvignon,,,,$23.49 
Barossa Valley Estates Grenache/Shiraz/Mourvedrre 750ml,Fragrant violet with a burst of red berry fruit lingering softly on a velvety palate.,520205,https://www.everythingwine.ca/bve-gsm,Australia,Barossa,Red,Red Blend,,Fragrant violet with a burst of red berry fruit lingering softly on a velvety palate.,Pair this up with anything BBQd!,$19.99 
Bear Flag  Red Blend 750 mL ,Bear Flag  Red Blend 750 mL,121186,https://www.everythingwine.ca/bear-flag-red,USA,California,Red,Red Blend,80%,,,$10.47 
Beau Bonhomme Organic Monastrell 750ml,Beau Bonhomme Organic Monastrell 750ml,612812,https://www.everythingwine.ca/beau-bonhomme-organic-monastrell-750ml,Spain,Jumilla,Red,Monastrell,,,,$20.98 
Beaulieu Vineyards Coastal Estates Cabernet Sauvignon 750 mL ,Beaulieu Vineyards Coastal Estates Cabernet Sauvignon 750ml,569871,https://www.everythingwine.ca/bv-coastal-estates-cabernet,USA,California - Coastal,Red,Cabernet Sauvignon,100%,,,$16.98 
Beaulieu Vineyards Napa Valley Cabernet Sauvignon 750 mL,"Aromatically vibrant with blackberry, black cherry, dark chocolate, smoke and wood spice. A fine core of fruit is set amid creamy and cinnamon-laced oak, firm but approachable tannin, good acidity and sufficient weight.
Great value in a plush and well structured Napa Cab that will match a range of grilled meat.",74161,https://www.everythingwine.ca/beaulieu-vineyards-napa-cab,USA,California - Napa Valley,Red,Cabernet Sauvignon,,,,$44.99 
Beaulieu Vineyards Reserve Tapestry Red Blend 750 mL ,Beaulieu Vineyards Reserve Tapestry Red Blend 750ml,644039,https://www.everythingwine.ca/bv-reserve-tapestry,USA,California - Napa Valley,Red,Red Blend,,,,$83.98 
Beaux Freres  Willamette Valley Pinot Noir 2014 750 mL,Beaux Freres  Willamette Valley Pinot Noir 750 mL,194407,https://www.everythingwine.ca/beaux-freres-willamette-valley-pinot-noir-2009-750-ml,USA,Oregon - Willamette Valley,Red,Pinot Noir,,,,$111.98 
Bedrock Wine Co.  Zinfandel 750 mL,Bedrock Wine Co. Zinfandel 750ml,950691,https://www.everythingwine.ca/bedrock-wine-co-the-bedrock-heritage-zinfandel-750ml,USA,California - Sonoma,Red,Zinfandel,,,,$51.98 
